Class,prefLabel,altLabel,oboe-core:measurementFor,oboe-core:hasMeasurement,exactMatch,broader,computational_entity,closeMatch,relatedMatch,organizedInClass,hascontext,contextof,label,Cites,refers to,has unique identifier,is unique identifier for,has identifier,is identifier for,has annotation,is annotation of,has property,is property of,is specialisation of,is base for,has basis,oboe-core:characteristicFor,oboe-core:ofEntity,oboe-core:hasValue,dcterms:description,rdfs:comment,rdf:datatype,dcterms:created
methods_methods,methods,methods,,,,oboe-core:Protocol,SIO:SIO_000757,oboe-core:Protocol,,traits.build-methods,,,,,,,,,,,,,,,,,,,,"A textual description of the methods used to collect the trait data. Whenever available, methods are taken near-verbatim from the referenced source. Methods can include descriptions such as 'measured on botanical collections', 'data from the literature', or a detailed description of the field or lab methods used to collect the data.",,http://www.w3.org/2001/XMLSchema#string,1-Feb-24
methods_description,dataset description,description,,,ets:datasetDescription,dcterms:description,SIO:SIO_000757,,,traits.build-methods,,,,,methods_methods,,,,,,,,,,,,,,,A 1-2 sentence description of the purpose of the study.,,http://www.w3.org/2001/XMLSchema#string,1-Feb-24
sampling_strategy,dataset sampling strategy,sampling_strategy,,,dwc:samplingProtocol,,SIO:SIO_000757,,,traits.build-methods,,,,,observations_from_dataset,,,,,,,,,,,,,,,"When available, this information is lifted verbatim from a published manuscript. For preserved specimens, this field ideally indicates which records were 'sampled' to measure a specific trait.",,http://www.w3.org/2001/XMLSchema#string,1-Feb-24
source_primary_key,source primary key,source_primary_key,,,dataset_id,oboe-core:Identifier,SIO:SIO_000757,,,traits.build-methods,,,,,,,source_primary_citation,,,,,,,,,,,,,Citation key for the primary source in `sources`. The key is typically formatted as `Surname_year`.,,http://www.w3.org/2001/XMLSchema#string,1-Feb-24
source_primary_citation,source primary citation,source_primary_citation,,,,dcterms:bibliographic citation,SIO:SIO_000757,,,traits.build-methods,,,,dataset,,source_primary_key,,,,,,,,,,,,,,Citation for the primary source. This detail is generated from the primary source in the metadata.,,http://www.w3.org/2001/XMLSchema#string,1-Feb-24
source_secondary_key,source secondary key,source_secondary_key,,,,oboe-core:Identifier,SIO:SIO_000757,,,traits.build-methods,,,,,,,source_secondary_citation,,,,,,,,,,,,,Citation key for the secondary source in `sources`.  The key is typically formatted as `Surname_year`.,,http://www.w3.org/2001/XMLSchema#string,1-Feb-24
source_secondary_citation,source secondary citation,source_secondary_citation,,,,dcterms:bibliographic citation,SIO:SIO_000757,,,traits.build-methods,,,,dataset,,source_secondary_key,,,,,,,,,,,,,,Citations for the secondary source. This detail is generated from the secondary source in the metadata.,,http://www.w3.org/2001/XMLSchema#string,1-Feb-24
source_original_dataset_key,source original dataset key,source_original_dataset_key,,,source_id,oboe-core:Identifier,SIO:SIO_000757,,,traits.build-methods,,,,,,,source_original_dataset_citation,,,,,,,,,,,,,"Citation key for the original dataset_id in sources, for compilations.  The key is typically formatted as `Surname_year`.",,http://www.w3.org/2001/XMLSchema#string,1-Feb-24
source_original_dataset_citation,source original dataset citation,source_original_dataset_citation,,,,dcterms:bibliographic citation,SIO:SIO_000757,,,traits.build-methods,,,,observations_from_source,,source_original_dataset_key,,,,,,,,,,,,,,"Citations for the original dataset_id in sources, for compilationse. This detail is generated from the original source in the metadata.",,http://www.w3.org/2001/XMLSchema#string,1-Feb-24
contributor,contributor,contributor,,,dcterms:contributor,,SIO:SIO_000757,,,traits.build-contributors;  traits.build-methods,,,,,observations_from_dataset,,,,,,,,,,,,,,,A person contributing to a dataset.,,http://www.w3.org/2001/XMLSchema#string,1-Feb-24
assistants,assistants,assistants,,,gdmt:RelatedPerson,dcterms:contributor,SIO:SIO_000757,,,traits.build-methods,,,,,,,,,,,,,,contributor,,,,,,People who played a more minor role in data collection for the study.,,http://www.w3.org/2001/XMLSchema#string,1-Feb-24
dataset_curators,dataset curators,dataset_curators,,,gdmt:DataCurator,dcterms:contributor,SIO:SIO_000757,,,traits.build-methods,,,,,,,,,,,,,,contributor,,,,,,Database team member(s) who contacted the data collectors and added the study to the database repository.,,http://www.w3.org/2001/XMLSchema#string,1-Feb-24
data_collectors,data collectors,data_collectors,,,gdmt:DataCollector,dcterms:contributor,SIO:SIO_000757,,,traits.build-contributors;  traits.build-methods,,,,,,ORCID;  given_name;  last_name,,,,affiliation;  additional_role,,,,contributor,,,,,,Person contributing to a dataset as a data collector.,,http://www.w3.org/2001/XMLSchema#string,1-Feb-24
last_name,last name,last_name,,,obo:IAO_0020017,oboe-core:Identifier,SIO:SIO_000757,,,traits.build-contributors,,,,,,,contributor,,,,,,,,,,,,,Last name of the data collector.,,http://www.w3.org/2001/XMLSchema#Name,1-Feb-24
given_name,given name,given_name,,,obo:IAO_0020016,oboe-core:Identifier,SIO:SIO_000757,,,traits.build-contributors,,,,,,,contributor,,,,,,,,,,,,,Given names of the data collector.,,http://www.w3.org/2001/XMLSchema#Name,1-Feb-24
ORCID,ORCID identifier,ORCID,,,obo:IAO_0000708,oboe-core:Identifier,SIO:SIO_000757,,,traits.build-contributors,,,,,,,contributor,,,,,,,,,,,,,"ORCID (Open Researcher and Contributor ID) for the data collector, if available.",,http://www.w3.org/2001/XMLSchema#anyURI,1-Feb-24
affiliation,affiliation,affiliation,,,gdmt:hasContributorAffiliation  ,,SIO:SIO_000757,,,traits.build-contributors,,,,,,,,,,,contributor,,,,,,,,,Affiliation of data collector.,,http://www.w3.org/2001/XMLSchema#string,1-Feb-24
additional_role,additional role,additional_role,,,gdmt:ContributorRole,,SIO:SIO_000757,,,traits.build-contributors,,,,,,,,,,,contributor,,,,,,,,,"Any additional roles the data collector had in the study, a field most frequently used to identify which data contributor is the contact person for the dataset.",,http://www.w3.org/2001/XMLSchema#string,1-Feb-24
taxonomic_dataset,taxonomic dataset,taxonomic_dataset,,,dwc:nomenclaturalCode,,SIO:SIO_000757,,,traits.build-taxa,,,,,,,,,,,,,taxon_name,,,,,,,"Name of the taxonomy (tree) that contains this concept. ie. APC, AusMoss etc.",,http://www.w3.org/2001/XMLSchema#string,1-Feb-24
taxon_rank,taxon rank,taxon_rank,,,dwc:taxonRank,,SIO:SIO_000757,,,traits.build-taxa,,,,,,,,,,,,,taxon_name,,,,,,,The taxonomic rank of the most specific name in the scientific name.,This is to clarify cases where information is not given on a species level.,http://www.w3.org/2001/XMLSchema#string,1-Feb-24
trinomial,trinomial,trinomial,,,,rdfs:label; skos:prefLabel,SIO:SIO_000757,,dwc:infraspecificEpithet,traits.build-taxa,,,,,,,,,taxon,,,,,,,,,,,The infraspecific taxon name match for an original name. This column is assigned `na` for taxon name that are at a broader taxonomic_resolution.,,http://www.w3.org/2001/XMLSchema#string,1-Feb-24
binomial,binomial,binomial,,,,rdfs:label; skos:prefLabel,SIO:SIO_000757,,dwc:specificEpithet,traits.build-taxa,,,,,,,,,taxon,,,,,,,,,,,The species-level taxon name match for an original name. This column is assigned `na` for taxon name that are at a broader taxonomic_resolution.,,http://www.w3.org/2001/XMLSchema#string,1-Feb-24
genus,genus,genus,,,dwc:genus,rdfs:label; skos:prefLabel,SIO:SIO_000757,,,traits.build-taxa,,,,,,,,,taxon,,,,,,,,,,,Genus of the taxon without authorship.,,http://www.w3.org/2001/XMLSchema#string,1-Feb-24
family,family,family,,,dwc:family,rdfs:label; skos:prefLabel,SIO:SIO_000757,,,traits.build-taxa,,,,,,,,,taxon,,,,,,,,,,,Family of the taxon.,,http://www.w3.org/2001/XMLSchema#string,1-Feb-24
taxon_distribution,taxon distribution,taxon_distribution,,,,,SIO:SIO_000757,,,traits.build-taxa,,,,,,,,,,,,,taxon,,,,,,,"Known distribution of the taxon, by Australian state.",,http://www.w3.org/2001/XMLSchema#string,1-Feb-24
establishment_means,establishment means,establishment_means,,,dwc:establishmentMeans,,SIO:SIO_000757,,,traits.build-taxa,,,,,,,,,,,,,taxon,,,,,,,Statement about whether an organism or organisms have been introduced to a given place and time through the direct or indirect activity of modern humans.,,http://www.w3.org/2001/XMLSchema#string,1-Feb-24
taxonomic_status,taxonomic status,taxonomic_status,,,dwc:taxonomicStatus,,SIO:SIO_000757,,,traits.build-taxa,,,,,,,,,,,,,taxon_name,,,,,,,The status of the use of the scientificName as a label for the taxon in regard to the 'accepted (or valid) taxonomy'. The assigned taxonomic status must be linked to a specific taxonomic reference that defines the concept.,,http://www.w3.org/2001/XMLSchema#string,1-Feb-24
scientific_name,scientific name,scientific_name,,,dwc:scientificName,,SIO:SIO_000757,,,traits.build-taxa,,,,,,scientific_name_id,taxon,,,,,,,,,,,,,"The full scientific name, with authorship and date information if known.",,http://www.w3.org/2001/XMLSchema#string,1-Feb-24
taxon_id,taxon id,taxon_id,,,dwc:taxonID,oboe-core:Identifier,SIO:SIO_000757,,,traits.build-taxa,,,,,,,taxon_name,,,,,,,,,,,,,An identifier for the set of taxon information (data associated with the taxon class). May be a global unique identifier or an identifier specific to the data set. Must be resolvable within this dataset.,,http://www.w3.org/2001/XMLSchema#anyURI,1-Feb-24
scientific_name_id,scientific name id,scientific_name_id,,,dwc:scientificNameID,oboe-core:Identifier,SIO:SIO_000757,,,traits.build-taxa,,,,,,,scientific_name,,,,,,,,,,,,,An identifier for the set of taxon information (data associated with the taxon class). May be a global unique identifier or an identifier specific to the data set. Must be resolvable within this dataset.,,http://www.w3.org/2001/XMLSchema#anyURI,1-Feb-24
taxon,taxon,taxon,,,dwc:Taxon,oboe-core:Characteristic,SIO:SIO_000757,,,traits.build-taxa,,,,,,taxon_name; scientific_name; scientific_name_id; taxon_id,,original_name; trinomial; binomial; genus; family,,,,taxon_distribution; establishment_means,,,,,,,,A group of organisms assumed to form a homogeneous unit with regard to associated trait measurements.,,http://www.w3.org/2001/XMLSchema#string,1-Feb-24
aligned_name,aligned name,aligned_name,,,,rdfs:label; skos:prefLabel,SIO:SIO_000757,,,traits.build-taxonomic_updates,,,,,,,,,,,,taxonomic_resolution,,,taxon_name,original_name,,,,"The taxon name without authorship after implementing automated syntax standardisation and spelling changes as well as manually encoded syntax alignments for this taxon in the metadata file for the corresponding `dataset_id`. This name has not yet been matched to the currently accepted (botanical) or valid (zoological) taxon name in cases where there are taxonomic synonyms, isonyms, orthographic variants, etc.",,http://www.w3.org/2001/XMLSchema#string,1-Feb-24
taxonomic_resolution,taxonomic resolution,taxonomic_resolution,,,,,SIO:SIO_000757,,dwc:taxonRank,traits.build-taxonomic_updates,,,,,,,,,,,,,aligned_name,,,,,,,The rank of the most specific taxon name (or scientific name) to which a submitted orignal name resolves.,,http://www.w3.org/2001/XMLSchema#string,1-Feb-24
trait,trait concept,trait,,,oboe-core:Standard,,SIO:SIO_000757,,,traits.build-definitions,,,,,,trait_concept_URI,,,,trait_name;  label,,allowed_values_max;  allowed_values_min;  allowed_values_levels;  units;  type,,,,,,,,"A collection of trait values pertaining to a distinct characteristic of a specific part of an organism (cell, tissue, organ, or whole organism).",,http://www.w3.org/2001/XMLSchema#string,1-Feb-24
trait_concept_URI,trait identifier,trait_concept_URI,,,ets:traitID; dcterms:identifier,,SIO:SIO_000757,,,traits.build-definitions,,,,,,,trait,,,,,,,,,,,,,"Unique identifier of the trait according to a public ontology, or a user-provided thesaurus of traits.",,http://www.w3.org/2001/XMLSchema#anyURI,1-Feb-24
label,label,label,,,rdfs:label; skos:prefLabel; ets:trait,,SIO:SIO_000757,,,traits.build-definitions,,,,,trait,,,,,,,,,,,,,,,A concise English label for the trait.,,http://www.w3.org/2001/XMLSchema#string,1-Feb-24
description,description,description,,,ets:traitDescription; dcterms:description,,SIO:SIO_000757,,,traits.build-definitions,,,,,,,,,,,trait,,,,,,,,,"A short description, generally ranging from 1-3 sentences that clearly indicates the trait’s scope. ",,http://www.w3.org/2001/XMLSchema#string,1-Feb-24
comments,comments,comments,,,rdfs:comment; ets:comments,,SIO:SIO_000757,,,traits.build-definitions,,,,,,,,,,,trait,,,,,,,,,Additional notes about the scope of the trait or acceptable methods. ,,http://www.w3.org/2001/XMLSchema#string,1-Feb-24
allowed_values_max,max allowed values,allowed_values_max,,,ets:maxAllowedValue,,SIO:SIO_000757,,,traits.build-definitions,,,,,,,,,,,,,trait,,,,,,,An upper boundary for accepted numerical values.,,http://www.w3.org/2001/XMLSchema#decimal,1-Feb-24
allowed_values_min,min allowed values,allowed_values_min,,,ets:minAllowedValue,,SIO:SIO_000757,,,traits.build-definitions,,,,,,,,,,,,,trait,,,,,,,A lower boundary for accepted numerical values.,,http://www.w3.org/2001/XMLSchema#decimal,1-Feb-24
units,units,units,,,ets:expectedUnit,,SIO:SIO_000757,,,traits.build-definitions,,,,,,,,,,,,,trait,,,,,,,"The preferred units for the trait, conforming to the Unified Code for Units of Measure (UCUM). There are often two entries for units, one that is a string and the second which links to a units of measurement axiom.",,http://www.w3.org/2001/XMLSchema#string,1-Feb-24
allowed_values_levels,allowed categorical values,allowed_values_levels,,,skos:narrower; ets:factorLevels,,SIO:SIO_000757,,,traits.build-definitions,,,,,,,,,,,,,trait,,,,,,,"Allowed trait values for a categorical trait, including a brief description of the value.",,http://www.w3.org/2001/XMLSchema#string,1-Feb-24
type,type,type,,,ets:valueType,,SIO:SIO_000757,,,traits.build-definitions,,,,,,,,,,,,,trait,,,,,,,"Type of trait, specifying if traits are categorical, numeric, or ordinal.",,http://www.w3.org/2001/XMLSchema#string,1-Feb-24
